12127.88	824.55	4.618320e-003	-1.430546e+000
12129.07	824.47	4.623210e-003	-1.431189e+000
12130.26	824.38	4.628107e-003	-1.431833e+000
12131.45	824.30	4.633012e-003	-1.432477e+000
12132.64	824.22	4.637925e-003	-1.433121e+000
12133.83	824.14	4.642846e-003	-1.433766e+000
12135.02	824.06	4.647774e-003	-1.434412e+000
12136.22	823.98	4.652710e-003	-1.435058e+000
12137.41	823.90	4.657654e-003	-1.435705e+000
12138.60	823.82	4.662606e-003	-1.436353e+000
12139.79	823.74	4.667566e-003	-1.437001e+000
12140.98	823.66	4.672534e-003	-1.437650e+000
12142.17	823.58	4.677510e-003	-1.438299e+000
12143.36	823.50	4.682493e-003	-1.438949e+000
12144.56	823.41	4.687485e-003	-1.439599e+000
12145.75	823.33	4.692484e-003	-1.440250e+000
12146.94	823.25	4.697492e-003	-1.440902e+000
12148.13	823.17	4.702508e-003	-1.441554e+000
12149.32	823.09	4.707531e-003	-1.442206e+000
12150.51	823.01	4.712563e-003	-1.442860e+000
12151.70	822.93	4.717602e-003	-1.443514e+000
12152.89	822.85	4.722650e-003	-1.444168e+000
12154.09	822.77	4.727706e-003	-1.444823e+000
12155.28	822.69	4.732770e-003	-1.445479e+000
12156.47	822.61	4.737842e-003	-1.446135e+000
12157.66	822.53	4.742922e-003	-1.446792e+000
12158.85	822.45	4.748010e-003	-1.447449e+000
12160.04	822.37	4.753107e-003	-1.448108e+000
12161.23	822.29	4.758211e-003	-1.448766e+000
12162.42	822.20	4.763324e-003	-1.449425e+000
12163.62	822.12	4.768446e-003	-1.450085e+000
12164.81	822.04	4.773575e-003	-1.450746e+000
12166.00	821.96	4.778713e-003	-1.451407e+000
12167.19	821.88	4.783858e-003	-1.452068e+000
12168.38	821.80	4.789013e-003	-1.452731e+000
12169.57	821.72	4.794175e-003	-1.453393e+000
12170.76	821.64	4.799346e-003	-1.454057e+000
12171.95	821.56	4.804525e-003	-1.454721e+000
12173.15	821.48	4.809713e-003	-1.455385e+000
12174.34	821.40	4.814909e-003	-1.456051e+000
12175.53	821.32	4.820113e-003	-1.456716e+000
12176.72	821.24	4.825326e-003	-1.457383e+000
12177.91	821.16	4.830547e-003	-1.458050e+000
12179.10	821.08	4.835777e-003	-1.458718e+000
12180.29	821.00	4.841015e-003	-1.459386e+000
