t	Re(rho11)	Im(rho11)	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	Re(rho22)	Im(rho22)	
0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.000000	0.999977	0.000000	0.000046	0.004705	0.000046	-0.004705	0.000023	-0.000000	
2.000000	0.999910	0.000000	0.000176	0.009391	0.000176	-0.009391	0.000090	-0.000000	
3.000000	0.999800	0.000000	0.000390	0.014041	0.000390	-0.014041	0.000200	-0.000000	
4.000000	0.999646	-0.000000	0.000683	0.018640	0.000683	-0.018640	0.000354	-0.000000	
5.000000	0.999449	-0.000000	0.001051	0.023174	0.001051	-0.023174	0.000551	-0.000000	
6.000000	0.999210	-0.000000	0.001489	0.027627	0.001489	-0.027627	0.000790	-0.000000	
7.000000	0.998929	-0.000000	0.001991	0.031989	0.001991	-0.031989	0.001071	-0.000000	
8.000000	0.998608	-0.000000	0.002552	0.036246	0.002552	-0.036246	0.001392	-0.000000	
9.000000	0.998247	-0.000000	0.003165	0.040389	0.003165	-0.040389	0.001753	-0.000000	
10.000000	0.997847	-0.000000	0.003823	0.044407	0.003823	-0.044407	0.002153	-0.000000	
11.000000	0.997411	-0.000000	0.004519	0.048293	0.004519	-0.048293	0.002589	-0.000000	
12.000000	0.996938	-0.000000	0.005247	0.052040	0.005247	-0.052040	0.003062	-0.000000	
13.000000	0.996431	-0.000000	0.006000	0.055641	0.006000	-0.055641	0.003569	-0.000000	
14.000000	0.995890	-0.000000	0.006771	0.059092	0.006771	-0.059092	0.004110	-0.000000	
15.000000	0.995318	-0.000000	0.007554	0.062389	0.007554	-0.062389	0.004682	-0.000000	
16.000000	0.994716	-0.000000	0.008341	0.065530	0.008341	-0.065530	0.005284	-0.000000	
17.000000	0.994084	-0.000000	0.009127	0.068514	0.009127	-0.068514	0.005916	-0.000000	
18.000000	0.993425	-0.000000	0.009905	0.071340	0.009905	-0.071340	0.006575	-0.000000	
19.000000	0.992741	-0.000000	0.010671	0.074009	0.010671	-0.074009	0.007259	-0.000000	
20.000000	0.992032	-0.000000	0.011419	0.076522	0.011419	-0.076522	0.007968	-0.000000	
21.000000	0.991300	-0.000000	0.012144	0.078882	0.012144	-0.078882	0.008700	-0.000000	
22.000000	0.990546	-0.000000	0.012842	0.081091	0.012842	-0.081091	0.009454	-0.000000	
23.000000	0.989773	-0.000000	0.013510	0.083154	0.013510	-0.083154	0.010227	-0.000000	
24.000000	0.988980	-0.000000	0.014144	0.085074	0.014144	-0.085074	0.011020	-0.000000	
25.000000	0.988171	-0.000000	0.014741	0.086856	0.014741	-0.086856	0.011829	-0.000000	
26.000000	0.987345	-0.000000	0.015300	0.088506	0.015300	-0.088506	0.012655	-0.000000	
27.000000	0.986504	0.000000	0.015817	0.090028	0.015817	-0.090028	0.013496	-0.000000	
28.000000	0.985649	0.000000	0.016292	0.091429	0.016292	-0.091429	0.014351	-0.000000	
29.000000	0.984782	0.000000	0.016724	0.092713	0.016724	-0.092713	0.015218	-0.000000	
30.000000	0.983903	0.000000	0.017112	0.093888	0.017112	-0.093888	0.016097	-0.000000	
31.000000	0.983014	0.000000	0.017456	0.094958	0.017456	-0.094958	0.016986	-0.000000	
32.000000	0.982115	0.000000	0.017756	0.095930	0.017756	-0.095930	0.017885	-0.000000	
33.000000	0.981207	0.000000	0.018012	0.096811	0.018012	-0.096811	0.018793	-0.000000	
34.000000	0.980291	0.000000	0.018226	0.097605	0.018226	-0.097605	0.019709	-0.000000	
35.000000	0.979369	0.000000	0.018398	0.098318	0.018398	-0.098318	0.020631	-0.000000	
36.000000	0.978440	0.000000	0.018529	0.098956	0.018529	-0.098956	0.021560	-0.000000	
37.000000	0.977505	0.000000	0.018620	0.099524	0.018620	-0.099524	0.022495	0.000000	
38.000000	0.976565	0.000000	0.018674	0.100028	0.018674	-0.100028	0.023435	0.000000	
39.000000	0.975621	0.000000	0.018691	0.100472	0.018691	-0.100472	0.024379	0.000000	
40.000000	0.974673	0.000000	0.018674	0.100860	0.018674	-0.100860	0.025327	0.000000	
41.000000	0.973721	0.000000	0.018625	0.101198	0.018625	-0.101198	0.026279	0.000000	
