t	Re(rho11)	Im(rho11)	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	Re(rho22)	Im(rho22)	
0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.000000	0.999600	-0.000000	0.000048	0.018812	0.000048	-0.018812	0.000400	0.000000	
2.000000	0.998538	-0.000000	0.000172	0.037530	0.000172	-0.037530	0.001462	0.000000	
3.000000	0.996788	-0.000000	0.000367	0.056072	0.000367	-0.056072	0.003212	0.000000	
4.000000	0.994346	-0.000000	0.000627	0.074358	0.000627	-0.074358	0.005654	0.000000	
5.000000	0.991220	-0.000000	0.000941	0.092307	0.000941	-0.092307	0.008780	0.000000	
6.000000	0.987397	-0.000000	0.001302	0.109827	0.001302	-0.109827	0.012603	0.000000	
7.000000	0.982926	-0.000000	0.001697	0.126863	0.001697	-0.126863	0.017074	0.000000	
8.000000	0.977825	-0.000000	0.002116	0.143352	0.002116	-0.143352	0.022175	0.000000	
9.000000	0.972117	-0.000000	0.002550	0.159234	0.002550	-0.159234	0.027883	0.000000	
10.000000	0.965825	-0.000000	0.002988	0.174455	0.002988	-0.174455	0.034175	0.000000	
11.000000	0.958975	-0.000000	0.003421	0.188967	0.003421	-0.188967	0.041025	0.000000	
12.000000	0.951594	-0.000000	0.003839	0.202725	0.003839	-0.202725	0.048406	-0.000000	
13.000000	0.943710	-0.000000	0.004234	0.215689	0.004234	-0.215689	0.056290	-0.000000	
14.000000	0.935352	-0.000000	0.004596	0.227827	0.004596	-0.227827	0.064648	-0.000000	
15.000000	0.926553	-0.000000	0.004918	0.239112	0.004918	-0.239112	0.073447	-0.000000	
16.000000	0.917346	-0.000000	0.005193	0.249521	0.005193	-0.249521	0.082654	-0.000000	
17.000000	0.907763	-0.000000	0.005413	0.259039	0.005413	-0.259039	0.092237	-0.000000	
18.000000	0.897839	0.000000	0.005573	0.267656	0.005573	-0.267656	0.102161	-0.000000	
19.000000	0.887607	0.000000	0.005667	0.275365	0.005667	-0.275365	0.112393	-0.000000	
20.000000	0.877101	0.000000	0.005692	0.282166	0.005692	-0.282166	0.122899	-0.000000	
21.000000	0.866357	0.000000	0.005643	0.288063	0.005643	-0.288063	0.133643	-0.000000	
22.000000	0.855407	0.000000	0.005518	0.293064	0.005518	-0.293064	0.144593	-0.000000	
23.000000	0.844286	0.000000	0.005314	0.297180	0.005314	-0.297180	0.155714	-0.000000	
24.000000	0.833026	0.000000	0.005030	0.300429	0.005030	-0.300429	0.166974	-0.000000	
25.000000	0.821659	0.000000	0.004665	0.302828	0.004665	-0.302828	0.178341	-0.000000	
26.000000	0.810218	0.000000	0.004220	0.304399	0.004220	-0.304399	0.189782	-0.000000	
27.000000	0.798733	0.000000	0.003694	0.305169	0.003694	-0.305169	0.201267	-0.000000	
28.000000	0.787234	0.000000	0.003090	0.305162	0.003090	-0.305162	0.212766	-0.000000	
29.000000	0.775749	0.000000	0.002409	0.304409	0.002409	-0.304409	0.224251	-0.000000	
30.000000	0.764306	0.000000	0.001653	0.302939	0.001653	-0.302939	0.235694	-0.000000	
31.000000	0.752932	0.000000	0.000825	0.300786	0.000825	-0.300786	0.247068	-0.000000	
32.000000	0.741650	0.000000	-0.000073	0.297982	-0.000073	-0.297982	0.258350	-0.000000	
33.000000	0.730487	0.000000	-0.001035	0.294562	-0.001035	-0.294562	0.269513	-0.000000	
34.000000	0.719463	0.000000	-0.002060	0.290559	-0.002060	-0.290559	0.280537	-0.000000	
35.000000	0.708601	-0.000000	-0.003143	0.286009	-0.003143	-0.286009	0.291399	-0.000000	
36.000000	0.697919	-0.000000	-0.004280	0.280947	-0.004280	-0.280947	0.302081	-0.000000	
37.000000	0.687438	-0.000000	-0.005467	0.275408	-0.005467	-0.275408	0.312562	-0.000000	
38.000000	0.677173	-0.000000	-0.006700	0.269427	-0.006700	-0.269427	0.322827	-0.000000	
