t	Re(rho11)	Im(rho11)	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	Re(rho22)	Im(rho22)	
0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.000000	0.999645	0.000000	0.000887	0.018790	0.000887	-0.018790	0.000355	0.000000	
2.000000	0.998554	0.000000	0.003596	0.037298	0.003596	-0.037298	0.001446	0.000000	
3.000000	0.996821	0.000000	0.007874	0.055328	0.007874	-0.055328	0.003179	0.000000	
4.000000	0.994395	0.000000	0.013811	0.072602	0.013811	-0.072602	0.005605	0.000000	
5.000000	0.991359	0.000000	0.021165	0.088966	0.021165	-0.088966	0.008641	0.000000	
6.000000	0.987708	0.000000	0.029890	0.104173	0.029890	-0.104173	0.012292	0.000000	
7.000000	0.983521	0.000000	0.039751	0.118117	0.039751	-0.118117	0.016479	0.000000	
8.000000	0.978829	0.000000	0.050610	0.130625	0.050610	-0.130625	0.021171	-0.000000	
9.000000	0.973696	0.000000	0.062250	0.141614	0.062250	-0.141614	0.026304	-0.000000	
10.000000	0.968179	0.000000	0.074481	0.151018	0.074481	-0.151018	0.031821	-0.000000	
11.000000	0.962336	0.000000	0.087099	0.158769	0.087099	-0.158769	0.037664	-0.000000	
12.000000	0.956235	0.000000	0.099904	0.164899	0.099904	-0.164899	0.043765	-0.000000	
13.000000	0.949932	0.000000	0.112699	0.169381	0.112699	-0.169381	0.050068	-0.000000	
14.000000	0.943491	0.000000	0.125309	0.172297	0.125309	-0.172297	0.056509	-0.000000	
15.000000	0.936969	0.000000	0.137561	0.173709	0.137561	-0.173709	0.063031	-0.000000	
16.000000	0.930420	0.000000	0.149294	0.173674	0.149294	-0.173674	0.069580	-0.000000	
17.000000	0.923896	0.000000	0.160418	0.172398	0.160418	-0.172398	0.076104	-0.000000	
18.000000	0.917449	0.000000	0.170725	0.169838	0.170725	-0.169838	0.082551	-0.000000	
19.000000	0.911109	0.000000	0.180252	0.166312	0.180252	-0.166312	0.088891	-0.000000	
20.000000	0.904929	0.000000	0.188810	0.161822	0.188810	-0.161822	0.095071	-0.000000	
21.000000	0.898933	0.000000	0.196405	0.156570	0.196405	-0.156570	0.101067	-0.000000	
22.000000	0.893133	0.000000	0.203069	0.150729	0.203069	-0.150729	0.106867	-0.000000	
23.000000	0.887578	0.000000	0.208667	0.144373	0.208667	-0.144373	0.112422	-0.000000	
24.000000	0.882273	0.000000	0.213266	0.137670	0.213266	-0.137670	0.117727	-0.000000	
25.000000	0.877213	0.000000	0.216939	0.130759	0.216939	-0.130759	0.122787	-0.000000	
26.000000	0.872409	0.000000	0.219714	0.123744	0.219714	-0.123744	0.127591	0.000000	
27.000000	0.867878	0.000000	0.221584	0.116730	0.221584	-0.116730	0.132122	-0.000000	
28.000000	0.863622	0.000000	0.222608	0.109822	0.222608	-0.109822	0.136378	-0.000000	
29.000000	0.859618	0.000000	0.222906	0.103095	0.222906	-0.103095	0.140382	-0.000000	
30.000000	0.855859	-0.000000	0.222547	0.096615	0.222547	-0.096615	0.144141	0.000000	
31.000000	0.852336	-0.000000	0.221604	0.090436	0.221604	-0.090436	0.147664	0.000000	
32.000000	0.849038	-0.000000	0.220150	0.084601	0.220150	-0.084601	0.150962	0.000000	
33.000000	0.845952	-0.000000	0.218259	0.079141	0.218259	-0.079141	0.154048	0.000000	
34.000000	0.843063	-0.000000	0.216005	0.074078	0.216005	-0.074078	0.156937	0.000000	
35.000000	0.840359	-0.000000	0.213458	0.069424	0.213458	-0.069424	0.159641	0.000000	
36.000000	0.837822	-0.000000	0.210684	0.065180	0.210684	-0.065180	0.162178	0.000000	
37.000000	0.835439	-0.000000	0.207747	0.061343	0.207747	-0.061343	0.164561	0.000000	
38.000000	0.833195	-0.000000	0.204703	0.057899	0.204703	-0.057899	0.166805	0.000000	
39.000000	0.831073	-0.000000	0.201605	0.054827	0.201605	-0.054827	0.168927	0.000000	
40.000000	0.829060	-0.000000	0.198494	0.052104	0.198494	-0.052104	0.170940	0.000000	
41.000000	0.827143	-0.000000	0.195409	0.049704	0.195409	-0.049704	0.172857	0.000000	
42.000000	0.825311	-0.000000	0.192380	0.047600	0.192380	-0.047600	0.174689	0.000000	
43.000000	0.823554	-0.000000	0.189432	0.045764	0.189432	-0.045764	0.176446	0.000000	
44.000000	0.821861	-0.000000	0.186586	0.044166	0.186586	-0.044166	0.178139	0.000000	
45.000000	0.820224	-0.000000	0.183854	0.042779	0.183854	-0.042779	0.179776	0.000000	
46.000000	0.818635	-0.000000	0.181249	0.041576	0.181249	-0.041576	0.181365	0.000000	
47.000000	0.817089	-0.000000	0.178775	0.040530	0.178775	-0.040530	0.182911	0.000000	
48.000000	0.815580	-0.000000	0.176435	0.039617	0.176435	-0.039617	0.184420	0.000000	
49.000000	0.814103	-0.000000	0.174228	0.038815	0.174228	-0.038815	0.185897	0.000000	
50.000000	0.812654	-0.000000	0.172152	0.038106	0.172152	-0.038106	0.187346	0.000000	
51.000000	0.811231	-0.000000	0.170203	0.037470	0.170203	-0.037470	0.188769	0.000000	
52.000000	0.809831	-0.000000	0.168373	0.036893	0.168373	-0.036893	0.190169	0.000000	
53.000000	0.808451	-0.000000	0.166656	0.036362	0.166656	-0.036362	0.191549	0.000000	
54.000000	0.807090	-0.000000	0.165044	0.035867	0.165044	-0.035867	0.192910	0.000000	
55.000000	0.805748	-0.000000	0.163529	0.035397	0.163529	-0.035397	0.194252	0.000000	
56.000000	0.804423	-0.000000	0.162101	0.034946	0.162101	-0.034946	0.195577	0.000000	
57.000000	0.803115	-0.000000	0.160754	0.034510	0.160754	-0.034510	0.196885	0.000000	
58.000000	0.801823	-0.000000	0.159478	0.034083	0.159478	-0.034083	0.198177	0.000000	
59.000000	0.800547	-0.000000	0.158266	0.033662	0.158266	-0.033662	0.199453	0.000000	
60.000000	0.799286	-0.000000	0.157112	0.033248	0.157112	-0.033248	0.200714	0.000000	
61.000000	0.798042	-0.000000	0.156008	0.032838	0.156008	-0.032838	0.201958	0.000000	
62.000000	0.796812	-0.000000	0.154948	0.032433	0.154948	-0.032433	0.203188	0.000000	
63.000000	0.795598	-0.000000	0.153928	0.032033	0.153928	-0.032033	0.204402	0.000000	
64.000000	0.794399	-0.000000	0.152943	0.031640	0.152943	-0.031640	0.205601	0.000000	
65.000000	0.793214	-0.000000	0.151988	0.031254	0.151988	-0.031254	0.206786	0.000000	
66.000000	0.792044	-0.000000	0.151060	0.030878	0.151060	-0.030878	0.207956	0.000000	
67.000000	0.790887	-0.000000	0.150157	0.030513	0.150157	-0.030513	0.209113	0.000000	
68.000000	0.789744	-0.000000	0.149275	0.030160	0.149275	-0.030160	0.210256	0.000000	
69.000000	0.788615	-0.000000	0.148412	0.029823	0.148412	-0.029823	0.211385	0.000000	
70.000000	0.787497	-0.000000	0.147568	0.029501	0.147568	-0.029501	0.212503	0.000000	
71.000000	0.786392	-0.000000	0.146740	0.029197	0.146740	-0.029197	0.213608	0.000000	
72.000000	0.785297	-0.000000	0.145927	0.028911	0.145927	-0.028911	0.214703	0.000000	
73.000000	0.784213	-0.000000	0.145129	0.028646	0.145129	-0.028646	0.215787	0.000000	
74.000000	0.783139	-0.000000	0.144346	0.028402	0.144346	-0.028402	0.216861	0.000000	
75.000000	0.782073	-0.000000	0.143576	0.028181	0.143576	-0.028181	0.217927	0.000000	
76.000000	0.781015	-0.000000	0.142819	0.027981	0.142819	-0.027981	0.218985	0.000000	
77.000000	0.779964	-0.000000	0.142075	0.027806	0.142075	-0.027806	0.220036	0.000000	
78.000000	0.778920	-0.000000	0.141345	0.027653	0.141345	-0.027653	0.221080	0.000000	
79.000000	0.777880	-0.000000	0.140627	0.027524	0.140627	-0.027524	0.222120	0.000000	
80.000000	0.776846	-0.000000	0.139922	0.027419	0.139922	-0.027419	0.223154	0.000000	
81.000000	0.775814	-0.000000	0.139229	0.027338	0.139229	-0.027338	0.224186	0.000000	
82.000000	0.774785	-0.000000	0.138549	0.027280	0.138549	-0.027280	0.225215	0.000000	
83.000000	0.773759	-0.000000	0.137882	0.027244	0.137882	-0.027244	0.226241	0.000000	
84.000000	0.772732	-0.000000	0.137227	0.027231	0.137227	-0.027231	0.227268	0.000000	
85.000000	0.771707	-0.000000	0.136584	0.027240	0.136584	-0.027240	0.228293	0.000000	
86.000000	0.770680	-0.000000	0.135953	0.027270	0.135953	-0.027270	0.229320	0.000000	
87.000000	0.769652	-0.000000	0.135335	0.027320	0.135335	-0.027320	0.230348	0.000000	
88.000000	0.768621	-0.000000	0.134729	0.027390	0.134729	-0.027390	0.231379	0.000000	
89.000000	0.767588	-0.000000	0.134134	0.027478	0.134134	-0.027478	0.232412	0.000000	
90.000000	0.766551	-0.000000	0.133550	0.027584	0.133550	-0.027584	0.233449	0.000000	
91.000000	0.765509	-0.000000	0.132978	0.027707	0.132978	-0.027707	0.234491	0.000000	
92.000000	0.764463	-0.000000	0.132417	0.027846	0.132417	-0.027846	0.235537	0.000000	
93.000000	0.763411	-0.000000	0.131867	0.028000	0.131867	-0.028000	0.236589	0.000000	
94.000000	0.762353	-0.000000	0.131327	0.028168	0.131327	-0.028168	0.237647	0.000000	
95.000000	0.761288	-0.000000	0.130797	0.028349	0.130797	-0.028349	0.238712	0.000000	
96.000000	0.760217	-0.000000	0.130276	0.028541	0.130276	-0.028541	0.239783	0.000000	
