t	Re(rho11)	Im(rho11)	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	Re(rho22)	Im(rho22)	
0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.000000	0.999593	0.000000	0.000202	0.018810	0.000202	-0.018810	0.000407	-0.000000	
2.000000	0.998509	0.000000	0.000733	0.037536	0.000733	-0.037536	0.001491	-0.000000	
3.000000	0.996735	0.000000	0.001593	0.056114	0.001593	-0.056114	0.003265	-0.000000	
4.000000	0.994274	0.000000	0.002769	0.074485	0.002769	-0.074485	0.005726	-0.000000	
5.000000	0.991126	0.000000	0.004252	0.092589	0.004252	-0.092589	0.008874	-0.000000	
6.000000	0.987302	0.000000	0.006025	0.110368	0.006025	-0.110368	0.012698	-0.000000	
7.000000	0.982815	0.000000	0.008069	0.127767	0.008069	-0.127767	0.017185	-0.000000	
8.000000	0.977680	0.000000	0.010365	0.144734	0.010365	-0.144734	0.022320	-0.000000	
9.000000	0.971915	0.000000	0.012892	0.161221	0.012892	-0.161221	0.028085	-0.000000	
10.000000	0.965539	0.000000	0.015629	0.177182	0.015629	-0.177182	0.034461	-0.000000	
11.000000	0.958572	0.000000	0.018553	0.192575	0.018553	-0.192575	0.041428	-0.000000	
12.000000	0.951036	0.000000	0.021640	0.207359	0.021640	-0.207359	0.048964	-0.000000	
13.000000	0.942956	0.000000	0.024868	0.221499	0.024868	-0.221499	0.057044	-0.000000	
14.000000	0.934355	0.000000	0.028212	0.234962	0.028212	-0.234962	0.065645	-0.000000	
15.000000	0.925260	0.000000	0.031649	0.247720	0.031649	-0.247720	0.074740	-0.000000	
16.000000	0.915698	0.000000	0.035154	0.259746	0.035154	-0.259746	0.084302	0.000000	
17.000000	0.905698	0.000000	0.038704	0.271018	0.038704	-0.271018	0.094302	0.000000	
18.000000	0.895287	0.000000	0.042275	0.281518	0.042275	-0.281518	0.104713	0.000000	
19.000000	0.884496	0.000000	0.045845	0.291229	0.045845	-0.291229	0.115504	0.000000	
20.000000	0.873353	0.000000	0.049391	0.300139	0.049391	-0.300139	0.126647	0.000000	
21.000000	0.861891	0.000000	0.052892	0.308240	0.052892	-0.308240	0.138109	0.000000	
22.000000	0.850138	0.000000	0.056328	0.315526	0.056328	-0.315526	0.149862	0.000000	
