t	Re(rho11)	Im(rho11)	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	Re(rho22)	Im(rho22)	
0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.000000	0.999605	-0.000000	0.000196	0.018810	0.000196	-0.018810	0.000395	0.000000	
2.000000	0.998560	0.000000	0.000708	0.037516	0.000708	-0.037516	0.001440	-0.000000	
3.000000	0.996809	0.000000	0.001555	0.056016	0.001555	-0.056016	0.003191	-0.000000	
4.000000	0.994328	0.000000	0.002732	0.074194	0.002732	-0.074194	0.005672	-0.000000	
5.000000	0.991179	-0.000000	0.004196	0.091979	0.004196	-0.091979	0.008821	0.000000	
6.000000	0.987376	-0.000000	0.005926	0.109289	0.005926	-0.109289	0.012624	0.000000	
7.000000	0.982937	0.000000	0.007895	0.126047	0.007895	-0.126047	0.017063	0.000000	
8.000000	0.977882	0.000000	0.010075	0.142181	0.010075	-0.142181	0.022118	0.000000	
9.000000	0.972236	0.000000	0.012438	0.157626	0.012438	-0.157626	0.027764	0.000000	
10.000000	0.966024	0.000000	0.014952	0.172324	0.014952	-0.172324	0.033976	0.000000	
11.000000	0.959273	0.000000	0.017585	0.186221	0.017585	-0.186221	0.040727	0.000000	
12.000000	0.952013	0.000000	0.020307	0.199274	0.020307	-0.199274	0.047987	0.000000	
13.000000	0.944277	0.000000	0.023083	0.211443	0.023083	-0.211443	0.055723	0.000000	
14.000000	0.936096	0.000000	0.025883	0.222700	0.025883	-0.222700	0.063904	0.000000	
15.000000	0.927508	0.000000	0.028676	0.233025	0.028676	-0.233025	0.072492	-0.000000	
16.000000	0.918549	0.000000	0.031432	0.242408	0.031432	-0.242408	0.081451	-0.000000	
17.000000	0.909255	0.000000	0.034125	0.250842	0.034125	-0.250842	0.090745	-0.000000	
18.000000	0.899660	0.000000	0.036728	0.258326	0.036728	-0.258326	0.100340	-0.000000	
