t	Re(rho11)	Im(rho11)	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	Re(rho22)	Im(rho22)	
0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.000000	0.999608	0.000000	0.000190	0.018794	0.000190	-0.018794	0.000392	0.000000	
2.000000	0.998570	-0.000000	0.000675	0.037462	0.000675	-0.037462	0.001430	-0.000000	
3.000000	0.996802	0.000000	0.001466	0.055890	0.001466	-0.055890	0.003198	-0.000000	
4.000000	0.994330	0.000000	0.002519	0.073994	0.002519	-0.073994	0.005670	-0.000000	
5.000000	0.991193	0.000000	0.003792	0.091709	0.003792	-0.091709	0.008807	-0.000000	
6.000000	0.987403	0.000000	0.005254	0.108965	0.005254	-0.108965	0.012597	-0.000000	
7.000000	0.982975	0.000000	0.006873	0.125702	0.006873	-0.125702	0.017025	-0.000000	
8.000000	0.977930	0.000000	0.008617	0.141863	0.008617	-0.141863	0.022070	-0.000000	
9.000000	0.972288	-0.000000	0.010456	0.157399	0.010456	-0.157399	0.027712	-0.000000	
10.000000	0.966074	-0.000000	0.012361	0.172268	0.012361	-0.172268	0.033926	-0.000000	
11.000000	0.959314	-0.000000	0.014303	0.186436	0.014303	-0.186436	0.040686	-0.000000	
12.000000	0.952035	0.000000	0.016256	0.199871	0.016256	-0.199871	0.047965	-0.000000	
13.000000	0.944264	0.000000	0.018195	0.212547	0.018195	-0.212547	0.055736	0.000000	
14.000000	0.936029	0.000000	0.020098	0.224444	0.020098	-0.224444	0.063971	0.000000	
15.000000	0.927362	0.000000	0.021943	0.235547	0.021943	-0.235547	0.072638	0.000000	
16.000000	0.918291	0.000000	0.023711	0.245846	0.023711	-0.245846	0.081709	0.000000	
17.000000	0.908847	0.000000	0.025384	0.255334	0.025384	-0.255334	0.091153	0.000000	
18.000000	0.899062	0.000000	0.026948	0.264008	0.026948	-0.264008	0.100938	0.000000	
19.000000	0.888965	0.000000	0.028389	0.271870	0.028389	-0.271870	0.111035	0.000000	
20.000000	0.878587	0.000000	0.029694	0.278924	0.029694	-0.278924	0.121413	0.000000	
21.000000	0.867958	-0.000000	0.030854	0.285178	0.030854	-0.285178	0.132042	0.000000	
22.000000	0.857109	-0.000000	0.031860	0.290643	0.031860	-0.290643	0.142891	0.000000	
23.000000	0.846068	-0.000000	0.032705	0.295331	0.032705	-0.295331	0.153932	0.000000	
24.000000	0.834865	-0.000000	0.033384	0.299259	0.033384	-0.299259	0.165135	0.000000	
25.000000	0.823529	-0.000000	0.033891	0.302443	0.033891	-0.302443	0.176471	0.000000	
26.000000	0.812086	-0.000000	0.034226	0.304903	0.034226	-0.304903	0.187914	0.000000	
27.000000	0.800563	-0.000000	0.034385	0.306661	0.034385	-0.306661	0.199437	0.000000	
28.000000	0.788988	0.000000	0.034368	0.307740	0.034368	-0.307740	0.211012	0.000000	
29.000000	0.777384	0.000000	0.034176	0.308162	0.034176	-0.308162	0.222616	0.000000	
30.000000	0.765776	0.000000	0.033809	0.307953	0.033809	-0.307953	0.234224	0.000000	
31.000000	0.754188	0.000000	0.033271	0.307138	0.033271	-0.307138	0.245812	0.000000	
32.000000	0.742641	0.000000	0.032564	0.305746	0.032564	-0.305746	0.257359	0.000000	
