t	Re(rho11)	Im(rho11)	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	Re(rho22)	Im(rho22)	
0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.000000	0.991126	-0.000000	0.000881	0.093544	0.000881	-0.093544	0.008874	-0.000000	
2.000000	0.964919	0.000000	0.003453	0.183395	0.003453	-0.183395	0.035081	-0.000000	
3.000000	0.922422	0.000000	0.007563	0.266076	0.007563	-0.266076	0.077578	-0.000000	
4.000000	0.865298	0.000000	0.012990	0.338420	0.012990	-0.338420	0.134702	-0.000000	
5.000000	0.795745	0.000000	0.019461	0.397647	0.019461	-0.397647	0.204255	-0.000000	
6.000000	0.716448	0.000000	0.026655	0.441493	0.026655	-0.441493	0.283552	-0.000000	
7.000000	0.630473	0.000000	0.034219	0.468308	0.034219	-0.468308	0.369527	-0.000000	
8.000000	0.541138	0.000000	0.041789	0.477162	0.041789	-0.477162	0.458862	-0.000000	
9.000000	0.451826	0.000000	0.049008	0.467898	0.049008	-0.467898	0.548174	-0.000000	
10.000000	0.366013	-0.000000	0.055517	0.440577	0.055517	-0.440577	0.633987	0.000000	
11.000000	0.286921	-0.000000	0.061016	0.396638	0.061016	-0.396638	0.713079	0.000000	
12.000000	0.217532	-0.000000	0.065239	0.337797	0.065239	-0.337797	0.782468	0.000000	
13.000000	0.160452	-0.000000	0.067978	0.266373	0.067978	-0.266373	0.839548	0.000000	
14.000000	0.117800	-0.000000	0.069092	0.185177	0.069092	-0.185177	0.882200	0.000000	
15.000000	0.091118	-0.000000	0.068510	0.097390	0.068510	-0.097390	0.908882	0.000000	
16.000000	0.081271	-0.000000	0.066243	0.006424	0.066243	-0.006424	0.918729	0.000000	
17.000000	0.088631	-0.000000	0.062357	-0.084221	0.062357	0.084221	0.911369	0.000000	
18.000000	0.112804	0.000000	0.056998	-0.171028	0.056998	0.171028	0.887196	-0.000000	
19.000000	0.152655	0.000000	0.050380	-0.250726	0.050380	0.250726	0.847345	-0.000000	
20.000000	0.206606	0.000000	0.042756	-0.320287	0.042756	0.320287	0.793394	-0.000000	
21.000000	0.272501	0.000000	0.034422	-0.377104	0.034422	0.377104	0.727499	-0.000000	
22.000000	0.347725	0.000000	0.025702	-0.419094	0.025702	0.419094	0.652275	-0.000000	
23.000000	0.429336	0.000000	0.016931	-0.444768	0.016931	0.444768	0.570664	-0.000000	
24.000000	0.514181	0.000000	0.008448	-0.453007	0.008448	0.453007	0.485819	-0.000000	
25.000000	0.598937	0.000000	0.000563	-0.443967	0.000563	0.443967	0.401063	-0.000000	
26.000000	0.680420	0.000000	-0.006442	-0.418045	-0.006442	0.418045	0.319580	-0.000000	
