t	Re(rho11)	Im(rho11)	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	Re(rho22)	Im(rho22)	
0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.000000	0.999602	0.000000	0.000197	0.018811	0.000197	-0.018811	0.000398	-0.000000	
2.000000	0.998547	-0.000000	0.000715	0.037523	0.000715	-0.037523	0.001453	-0.000000	
3.000000	0.996806	-0.000000	0.001557	0.056051	0.001557	-0.056051	0.003194	-0.000000	
4.000000	0.994352	-0.000000	0.002725	0.074295	0.002725	-0.074295	0.005648	0.000000	
5.000000	0.991195	-0.000000	0.004199	0.092165	0.004199	-0.092165	0.008805	0.000000	
6.000000	0.987378	-0.000000	0.005943	0.109595	0.005943	-0.109595	0.012622	0.000000	
7.000000	0.982918	-0.000000	0.007935	0.126514	0.007935	-0.126514	0.017082	0.000000	
8.000000	0.977834	-0.000000	0.010148	0.142854	0.010148	-0.142854	0.022166	0.000000	
9.000000	0.972149	0.000000	0.012555	0.158554	0.012555	-0.158554	0.027851	0.000000	
10.000000	0.965887	0.000000	0.015126	0.173558	0.015126	-0.173558	0.034113	0.000000	
11.000000	0.959075	0.000000	0.017833	0.187817	0.017833	-0.187817	0.040925	-0.000000	
12.000000	0.951741	0.000000	0.020644	0.201286	0.020644	-0.201286	0.048259	-0.000000	
13.000000	0.943915	0.000000	0.023530	0.213929	0.023530	-0.213929	0.056085	-0.000000	
14.000000	0.935630	0.000000	0.026460	0.225714	0.026460	-0.225714	0.064370	-0.000000	
15.000000	0.926918	0.000000	0.029405	0.236620	0.029405	-0.236620	0.073082	-0.000000	
16.000000	0.917812	0.000000	0.032336	0.246627	0.032336	-0.246627	0.082188	-0.000000	
17.000000	0.908346	-0.000000	0.035227	0.255722	0.035227	-0.255722	0.091654	0.000000	
18.000000	0.898555	-0.000000	0.038051	0.263900	0.038051	-0.263900	0.101445	-0.000000	
19.000000	0.888473	-0.000000	0.040786	0.271160	0.040786	-0.271160	0.111527	-0.000000	
20.000000	0.878134	-0.000000	0.043408	0.277505	0.043408	-0.277505	0.121866	-0.000000	
21.000000	0.867574	-0.000000	0.045897	0.282945	0.045897	-0.282945	0.132426	0.000000	
22.000000	0.856826	-0.000000	0.048237	0.287494	0.048237	-0.287494	0.143174	0.000000	
23.000000	0.845922	0.000000	0.050411	0.291168	0.050411	-0.291168	0.154078	0.000000	
24.000000	0.834897	0.000000	0.052405	0.293990	0.052405	-0.293990	0.165103	0.000000	
25.000000	0.823781	0.000000	0.054210	0.295982	0.054210	-0.295982	0.176219	0.000000	
26.000000	0.812605	0.000000	0.055816	0.297172	0.055816	-0.297172	0.187395	0.000000	
27.000000	0.801399	0.000000	0.057216	0.297589	0.057216	-0.297589	0.198601	0.000000	
28.000000	0.790191	0.000000	0.058405	0.297265	0.058405	-0.297265	0.209809	0.000000	
29.000000	0.779009	0.000000	0.059382	0.296232	0.059382	-0.296232	0.220991	0.000000	
30.000000	0.767879	0.000000	0.060145	0.294524	0.060145	-0.294524	0.232121	0.000000	
31.000000	0.756825	0.000000	0.060695	0.292176	0.060695	-0.292176	0.243175	0.000000	
