t	Re(rho11)	Im(rho11)	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	Re(rho22)	Im(rho22)	
0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.000000	0.999632	0.000000	0.000177	0.018751	0.000177	-0.018751	0.000368	-0.000000	
2.000000	0.998581	-0.000000	0.000654	0.037138	0.000654	-0.037138	0.001419	0.000000	
3.000000	0.996824	-0.000000	0.001388	0.054819	0.001388	-0.054819	0.003176	0.000000	
4.000000	0.994455	0.000000	0.002293	0.071615	0.002293	-0.071615	0.005545	-0.000000	
5.000000	0.991443	0.000000	0.003313	0.087202	0.003313	-0.087202	0.008557	-0.000000	
6.000000	0.987896	0.000000	0.004364	0.101530	0.004364	-0.101530	0.012104	0.000000	
7.000000	0.983804	-0.000000	0.005376	0.114327	0.005376	-0.114327	0.016196	0.000000	
8.000000	0.979284	-0.000000	0.006292	0.125714	0.006292	-0.125714	0.020716	0.000000	
9.000000	0.974374	-0.000000	0.007061	0.135631	0.007061	-0.135631	0.025626	-0.000000	
10.000000	0.969092	-0.000000	0.007615	0.143928	0.007615	-0.143928	0.030908	-0.000000	
11.000000	0.963527	-0.000000	0.007942	0.150809	0.007942	-0.150809	0.036473	-0.000000	
12.000000	0.957733	-0.000000	0.008026	0.156370	0.008026	-0.156370	0.042267	-0.000000	
13.000000	0.951758	-0.000000	0.007863	0.160724	0.007863	-0.160724	0.048242	-0.000000	
14.000000	0.945643	-0.000000	0.007458	0.163991	0.007458	-0.163991	0.054357	-0.000000	
15.000000	0.939419	-0.000000	0.006797	0.166181	0.006797	-0.166181	0.060581	-0.000000	
16.000000	0.933129	-0.000000	0.005914	0.167492	0.005914	-0.167492	0.066871	-0.000000	
17.000000	0.926806	-0.000000	0.004841	0.168075	0.004841	-0.168075	0.073194	-0.000000	
18.000000	0.920473	-0.000000	0.003599	0.168022	0.003599	-0.168022	0.079527	-0.000000	
19.000000	0.914154	-0.000000	0.002198	0.167371	0.002198	-0.167371	0.085846	-0.000000	
20.000000	0.907870	0.000000	0.000674	0.166251	0.000674	-0.166251	0.092130	-0.000000	
21.000000	0.901635	0.000000	-0.000945	0.164749	-0.000945	-0.164749	0.098365	-0.000000	
22.000000	0.895463	0.000000	-0.002639	0.162925	-0.002639	-0.162925	0.104537	-0.000000	
23.000000	0.889364	0.000000	-0.004390	0.160831	-0.004390	-0.160831	0.110636	-0.000000	
24.000000	0.883348	0.000000	-0.006179	0.158515	-0.006179	-0.158515	0.116652	-0.000000	
25.000000	0.877423	0.000000	-0.007992	0.156012	-0.007992	-0.156012	0.122577	-0.000000	
26.000000	0.871595	0.000000	-0.009819	0.153354	-0.009819	-0.153354	0.128405	-0.000000	
27.000000	0.865869	0.000000	-0.011649	0.150567	-0.011649	-0.150567	0.134131	-0.000000	
28.000000	0.860251	0.000000	-0.013474	0.147675	-0.013474	-0.147675	0.139749	-0.000000	
29.000000	0.854744	0.000000	-0.015289	0.144696	-0.015289	-0.144696	0.145256	-0.000000	
30.000000	0.849350	-0.000000	-0.017089	0.141647	-0.017089	-0.141647	0.150650	-0.000000	
31.000000	0.844072	-0.000000	-0.018870	0.138540	-0.018870	-0.138540	0.155928	-0.000000	
32.000000	0.838912	-0.000000	-0.020630	0.135390	-0.020630	-0.135390	0.161088	-0.000000	
33.000000	0.833871	-0.000000	-0.022368	0.132206	-0.022368	-0.132206	0.166129	-0.000000	
34.000000	0.828951	-0.000000	-0.024082	0.129000	-0.024082	-0.129000	0.171049	-0.000000	
35.000000	0.824151	-0.000000	-0.025771	0.125781	-0.025771	-0.125781	0.175849	-0.000000	
36.000000	0.819474	-0.000000	-0.027436	0.122558	-0.027436	-0.122558	0.180526	-0.000000	
37.000000	0.814917	-0.000000	-0.029076	0.119339	-0.029076	-0.119339	0.185083	-0.000000	
38.000000	0.810482	-0.000000	-0.030691	0.116132	-0.030691	-0.116132	0.189518	-0.000000	
39.000000	0.806167	-0.000000	-0.032281	0.112946	-0.032281	-0.112946	0.193833	-0.000000	
40.000000	0.801971	-0.000000	-0.033847	0.109787	-0.033847	-0.109787	0.198029	-0.000000	
41.000000	0.797894	-0.000000	-0.035388	0.106662	-0.035388	-0.106662	0.202106	-0.000000	
42.000000	0.793934	-0.000000	-0.036906	0.103578	-0.036906	-0.103578	0.206066	-0.000000	
43.000000	0.790090	-0.000000	-0.038401	0.100541	-0.038401	-0.100541	0.209910	-0.000000	
44.000000	0.786358	0.000000	-0.039872	0.097555	-0.039872	-0.097555	0.213642	-0.000000	
45.000000	0.782739	0.000000	-0.041321	0.094627	-0.041321	-0.094627	0.217261	-0.000000	
46.000000	0.779228	-0.000000	-0.042748	0.091761	-0.042748	-0.091761	0.220772	-0.000000	
47.000000	0.775824	-0.000000	-0.044152	0.088961	-0.044152	-0.088961	0.224176	-0.000000	
48.000000	0.772524	-0.000000	-0.045535	0.086231	-0.045535	-0.086231	0.227476	-0.000000	
49.000000	0.769326	-0.000000	-0.046897	0.083575	-0.046897	-0.083575	0.230674	-0.000000	
50.000000	0.766226	-0.000000	-0.048238	0.080994	-0.048238	-0.080994	0.233774	-0.000000	
51.000000	0.763222	-0.000000	-0.049557	0.078492	-0.049557	-0.078492	0.236778	-0.000000	
